"(0.2, 0.575)"
"(0.3936079545454545, 0.6453598484848485)"
"(0.4395833333333334, 0.7416666666666667)"
"(0.26875000000000004, 0.639236111111111)"
"(0.3356542699724518, 0.5301515151515152)"
"(0.21018518518518517, 0.4055555555555555)"
"(0.5125, 0.7583333333333333)"
"(0.3073529411764706, 0.5470588235294118)"
"(0.556, 0.68)"
"(0.37784090909090906, 0.525)"
"(0.3958333333333333, 0.5051282051282051)"
"(0.35000000000000003, 0.45555555555555555)"
"(0.38522727272727275, 0.5813131313131313)"
"(0.325, 0.4625)"
"(0.4666666666666667, 0.6333333333333333)"
"(0.29444444444444445, 0.40925925925925927)"
"(0.40625, 0.575)"
"(0.3125, 0.39166666666666666)"
"(0.5583333333333333, 0.5666666666666665)"
"(0.4541666666666666, 0.6138888888888889)"
"(0.37162247474747473, 0.5222222222222221)"
"(0.3070833333333333, 0.5329166666666667)"
"(0.7583333333333333, 0.7166666666666668)"
"(0.13392857142857142, 0.23392857142857143)"
"(0.22999999999999998, 0.6599999999999999)"
"(0.11419753086419752, 0.5608024691358025)"
"(0.2528846153846154, 0.5660256410256411)"
"(0.4916666666666667, 0.5166666666666667)"
"(0.38222222222222224, 0.7277777777777779)"
"(0.39333333333333337, 0.7166666666666667)"
"(0.4796875, 0.7041666666666666)"
"(0.16592592592592592, 0.44240740740740736)"
"(0.7, 0.8)"
"(0.8833333333333333, 0.6833333333333332)"
"(0.6, 1.0)"
"(0.63125, 0.7625)"
"(0.28939393939393937, 0.5349242424242425)"
"(0.4729166666666667, 0.6999999999999998)"
"(0.3916666666666666, 0.7666666666666666)"
"(0.39404761904761904, 0.5333333333333333)"
"(0.23308641975308644, 0.6695061728395062)"
"(0.16564814814814816, 0.40518518518518515)"
"(0.275974025974026, 0.5858116883116883)"
"(0.3704761904761905, 0.6661904761904763)"
"(0.32780303030303026, 0.6254545454545454)"
"(0.4444444444444444, 0.5388888888888889)"
"(0.2977083333333334, 0.483888888888889)"
"(0.3433333333333334, 0.5791666666666667)"
"(0.3833333333333333, 0.3666666666666667)"
"(0.6, 1.0)"
"(-0.15999999999999998, 0.6891666666666667)"
"(0.34694677871148466, 0.6761624649859943)"
"(0.5231770833333333, 0.8413194444444444)"
"(0.28939393939393937, 0.472979797979798)"
"(0.3894444444444444, 0.5694444444444444)"
"(0.6041666666666666, 0.6777777777777779)"
"(0.29190476190476194, 0.5133333333333334)"
"(0.18363636363636365, 0.40545454545454546)"
"(0.2347222222222222, 0.6902777777777778)"
"(0.6333333333333333, 0.6833333333333332)"
"(0.1716329966329966, 0.5314814814814814)"
"(0.55, 0.65)"
"(0.6045454545454546, 0.6227272727272728)"
"(0.3333333333333333, 0.6333333333333334)"
"(0.4822916666666667, 0.6654166666666665)"
"(0.30892857142857144, 0.6080026455026456)"
"(0.7, 0.4)"
"(0.278125, 0.4875)"
"(0.22083333333333333, 0.6958333333333333)"
"(0.0, 0.0)"
"(0.28095238095238095, 0.4976190476190476)"
"(0.4, 0.5)"
"(0.19547619047619044, 0.44976190476190475)"
"(0.39375000000000004, 0.5874999999999999)"
"(0.2589594928880643, 0.44421768707482995)"
"(0.41000000000000003, 0.5028571428571429)"
"(0.17142857142857143, 0.48952380952380936)"
"(0.375, 0.5)"
"(0.2821428571428572, 0.65)"
"(0.7116071428571429, 0.7714285714285715)"
"(0.682, 0.8)"
"(0.25, 0.6499999999999999)"
"(0.20217105263157895, 0.41657894736842105)"
"(0.5277777777777778, 0.6055555555555556)"
"(0.64375, 0.775)"
"(0.20625, 0.5625)"
"(0.30833333333333335, 0.43333333333333335)"
"(0.4035714285714286, 0.5984126984126984)"
"(0.35714285714285715, 0.5)"
"(0.4635416666666667, 0.6375000000000001)"
"(0.32083333333333336, 0.4041666666666666)"
"(0.09999999999999999, 0.39821428571428574)"
"(0.39621212121212124, 0.6172348484848486)"
"(0.45, 0.725)"
"(0.3333333333333333, 0.45416666666666666)"
"(0.5159090909090909, 0.6727272727272728)"
"(0.36607142857142855, 0.6071428571428571)"
"(0.2753968253968255, 0.5814285714285714)"
"(0.28285714285714286, 0.45071428571428573)"
"(0.4018518518518518, 0.5472222222222223)"
"(0.29147727272727275, 0.45916666666666667)"
"(0.45, 0.7)"
"(0.12316017316017315, 0.5192640692640693)"
"(0.2892857142857143, 0.5642857142857143)"
"(0.25833333333333336, 0.6773809523809524)"
"(1.0, 1.0)"
